Mouse Necropsy information sheet,...2,...3
Initials,ZL,
Today's Date,44039,
Mouse ID,23786-01,
Disposition,Completely paralyzed,
Sex,Male,
Strain,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,
BD,43974,
Sac Date,44039,
Age at Sac,65,
RCAS injection?,Yes,
Injection route,intracranial,
Injection Date,43975,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1,
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,"Mushy gray tissue underneath brain surrounding cranial nerves, brain softer than normal enlarged as well",
Date Tumor reported,44032,Slight domed head noticed
Dox Tx?,No,
Duration of Dox Tx,,
Genotype,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,
Tissue collected,Brain,
,,
Formalin fixed?,Yes,
Parafin Block #'s,,
,,
Slide #'s,1,
H&E?,Yes,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Additional comments,,
