Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44012
Mouse ID,23526-000
Disposition,Paralyzed with large tumor growing on skull
Sex,Female
Strain,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
BD,43943
Sac Date,44018
Age at Sac,75
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43944
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,"Completely paralyzed, and large tumor covering entired skull. Brain underneath skull appeared normal"
Date Tumor reported,44011
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,HCI -20-23526-BR
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
