Mouse Necropsy information sheet,...2,...3,...4
Initials,RE,,
Today's Date,44656,,
Mouse ID,29387-00,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,N-TVA::Cas9f/f;Inkf/f,,
BD,44601,,
Sac Date,44656,,
Age at Sac,55,,
Injection Date,44602,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (RE),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Y,,
Date Tumor reported,44649,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA::Cas9f/f;Inkf/f,,
Tissue collected,Brain,,
Zinc fixed?,No,,
Formalin fixed?,Brain,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection. Will submit to histology for confirmation",,
