Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44719,,
Mouse ID,28780-00,,
Disposition,,,
Disposition,Sacked for end date,,
Treatment,,,
Sex,Female,,
Strain,N-TVA::Cas9f/f,,
BD,44536,`,
Sac Date,44719,,
Age at Sac,183,,
Injection Date,44902,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (12/7/21 RH),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,N-TVA::Cas9f/f,,
Tissue collected,"Brain, Lungs, Liver",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"All organs appeared normal, no tumor noted, some hunching",,
,,,
,,,
