Mouse Necropsy information sheet,...2,...3,...4
Initials,RE,,
Today's Date,44655,,
Mouse ID,29409-10,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,N-TVA::Cas9f/f;Inkf/f,,
BD,44602,,
Sac Date,44655,,
Age at Sac,53,,
Injection Date,44602,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (RE),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Y,,
Date Tumor reported,44649,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA::Cas9f/f;Inkf/f,,
Tissue collected,"Brain, Lungs, Liver",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22. Rest of litter mates were found dead.",,
