Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44442,,
Mouse ID,26867-10,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
BD,44306,,
Sac Date,44442,,
Age at Sac,136,,
Injection Date,"4/20/21, 4/21/21",,
Virus 1,RCAS Cre-U6-sgRNA-Ex2-NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
Tissue collected,"Brain, lung, tumor",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lung, tumor",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"started to walk in circles, large tumor under the skin around the back of the neck and shoulder",,
