Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44370,,
Mouse ID,26143-03,,
Disposition,"mouse is puffy, not moving around much, slow breathing",,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,
BD,44227,,
Sac Date,44370,,
Age at Sac,143,,
Injection Date,44229,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,no,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,
Tissue collected,Brain,,
Zinc fixed?,No,,
Formalin fixed?,Brain,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Brain looked uncharacteristically white and it did not separate from the skull cleanly,,
