Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44064
Mouse ID,23821-00
Disposition,TVA- Sacked as a control
Sex,Female
Strain,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f
BD,43979
Sac Date,44064
Age at Sac,85
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43980
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Evrything appeared normal
Date Tumor reported,N/A
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
age at tumor onset,
