Mouse Necropsy information sheet,...2,...3,...4
Initials,RE,,
Today's Date,44552,,
Mouse ID,28208-11,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,,
BD,44481,,
Sac Date,44552,,
Age at Sac,71,,
Injection Date,44483,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (RH 10/14/21),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Y,,
Date Tumor reported,44534,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,,
Tissue collected,"Brain, Lungs, Liver, T1, T2, T3",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver, T1, T2, T3",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)",,
