Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44291,,
Mouse ID,26137-00,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,
BD,44227,,
Sac Date,44291,,
Age at Sac,64,,
Injection Date,44229,,
Virus 1,RCAS Cre U6 sgRNA Ex2 NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,
Tissue collected,Brain,,
Zinc fixed?,No,,
Formalin fixed?,Brain,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"Found dead on a Monday, so could have died up to 3 days earlier. Brain was sort of mushy, so it was not in the best condition, but was able to be removed for histology. No other signs of tumor.",,
