Mouse Necropsy information sheet,...2
Initials,GP
Today's Date,43975
Mouse ID,22925-00
Disposition,"protruding rectum, difficulty walking"
Sex,Male
Strain,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f
BD,43893
Sac Date,44000
Age at Sac,107
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43895
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (HW 3/5/20)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,"Yes,  large white mass under brain. Rick thinks enlarged pituitary"
Date Tumor reported,43997
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,HCI-22925-BR
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
