Mouse Necropsy information sheet,...2,...3,...4
Initials,RE,,
Today's Date,44564,,
Mouse ID,28203-11,,
Disposition,Little Mobility in back legs,,
Disposition,Trouble breathing,,
Disposition,"Red, sunken eyes",,
Disposition,Extremely Underweight,,
Treatment,,,
Sex,Female,`,
Strain,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,,
BD,44481,,
Sac Date,44564,,
Age at Sac,83,,
Injection Date,44482,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (10/13/21 RH),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Y,,
Date Tumor reported,44551,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,,
Tissue collected,"T1, Brain, Lungs, Liver",,
Zinc fixed?,No,,
Formalin fixed?,"T1, Brain, Lungs, Liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"Red, sunken eyes, possible blood clot on the liver, extracranial tumor, soft brain, little mobility on back legs, extremely underweight, normal lungs",,
