Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44448,,
Mouse ID,26827-01,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
BD,44302,,
Sac Date,44448,,
Age at Sac,146,,
Injection Date,"4/16/21, 4/19/21",,
Virus 1,RCAS Cre-U6-sgRNA-Ex2-NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
Tissue collected,"Brain, lung, tumor",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lung, tumor",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"tumor below left ear, ruffled fur, walking in circles, much skinnier than other mouse in cage",,
