Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44733,,
Mouse ID,29164-01,,
Disposition,,,
Disposition,Sacked for end date,,
Treatment,,,
Sex,Male,,
Strain,N-TVA::Cas9f/f,,
BD,44579,`,
Sac Date,44733,,
Age at Sac,154,,
Injection Date,44581,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (1/20/22 RE),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,N-TVA::Cas9f/f,,
Tissue collected,"Brain, Optic Nerves",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Optic Nerves",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"Brain was soft, all other organs appeared normal, no tumor noted",,
,,,
,,,
