Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44299,,
Mouse ID,26038-01,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,
BD,44220,,
Sac Date,44299,,
Age at Sac,79,,
Injection Date,44222,,
Virus 1,RCAS Cre U6 sgRNA Ex2 NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,yes,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,
Tissue collected,"Brain, T1",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, T1",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"tiny mass on top of skull, could see some tissue is on opposite side (inside) of skull as well, fixed entire piece of skull with that possible beginning of a tumor, will need to decalify if submitting to histology",,
