Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,44761,,,,,,,,
Mouse ID,29399-03,,,,,,,,
Disposition,Sac for end date,,,,,,,,
Sex,Female,,,,,,,,
Strain,N-TVA::Cas9f/f,,,,,,,,
BD,44602,,,,,,,,
Sac Date,44761,,,,,,,,
Age at Sac,159,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Intracranial,,,,,,,,
Injection Date,44602,,,,,,,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (2/10/22 RE),,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,N-TVA::Cas9f/f,,,,,,,,
Tissue collected,"Brain, optic nerve",,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,"HCI-22-29399 ON, HCI-22-29399 B",,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,yes,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"No signs of disease. Brain, optic nerve, and all organs appeared normal.",,,,,,,,
,Brain and optic nerve collected for histology.,,,,,,,,
