Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44091
Mouse ID,23525
Disposition,Bloody cutaneous tumro growing on side
Sex,Male
Strain,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f
BD,43943
Sac Date,44091
Age at Sac,148
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43944
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Tumor present on side of body weird fatty skin growth. Brain looked normal
Date Tumor reported,44063
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,"Tumor and brain, tumor tissue frozen, cell line started, and formalin fixed"
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
age at tumor onset,120
