Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44012
Mouse ID,23465-03
Disposition,"Mouse looked sick, blood coming out of ears and extrememly large tumor growth on skull."
Sex,Male
Strain,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f
BD,43939
Sac Date,44011
Age at Sac,72
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43941
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Brain looked small with part of skull caved in under tumor. Extremely large tumor mass found surroundiong entire skull.
Date Tumor reported,43994
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,HCI -20-23465-BR
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
