Mouse Necropsy information sheet,...2
Initials,RH
Today's Date,44028
Mouse ID,23469
Disposition,paralyzed lower limbs
Sex,Male
Strain,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
BD,43940
Sac Date,44028
Age at Sac,88
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43941
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,"Slightly enlarged cranial nerves but brain looked normal, mouse was paralyzed"
Date Tumor reported,"7/15/2020, paralysis noted"
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,"Brain, spinal cord"
,
Formalin fixed?,Yes
Parafin Block #'s,HCI -20-23469-BR
,HCI-20-23469-SpCo
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
