Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44620,,
Mouse ID,28529-11,,
Disposition,Visible head tumor,,
Disposition,Back leg paralysis,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,,
BD,44511,,
Sac Date,44620,,
Age at Sac,109,,
Injection Date,44489,,
Virus 1,RCAS Cre + RCAS proHBEGF (10/20/21 RE),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,"Glioma, tumor was so large that there was a change of shape to the skull, and paralysis present",,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,,
Tissue collected,"Brain, Lungs, Liver",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"Swollen brain, blood in the skull prior to skull incision",,
