Mouse Necropsy information sheet,...2
Initials,GP
Today's Date,43975
Mouse ID,22926-01
Disposition,Large tumor invading left eye/domed head
Sex,Male
Strain,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f
BD,43893
Sac Date,43975
Age at Sac,82
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43895
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (HW 3/5/20)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,43975
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f
Tissue collected,"Brain, extracranial tumor"
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
