Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44013
Mouse ID,23287-01
Disposition,"Large tumor growing through eye, eye burst open."
Sex,Female
Strain,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
BD,43924
Sac Date,44013
Age at Sac,89
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43926
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Large white mass underneath brain and enveloping cranial nerves. Tumor present outside skull on eye as well.
Date Tumor reported,43999
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,HCI -20-23287-BR
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
