Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44012
Mouse ID,23470-00
Disposition,Paralyzed + disfiguremnt from ttumors on face
Sex,Male
Strain,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
BD,43940
Sac Date,44011
Age at Sac,71
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43941
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,"Was paralyzed, had tumor growing outside the skull (small), and large white mass found underneath brain."
Date Tumor reported,43994
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,HCI -20-23470-BR
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
