Mouse Necropsy information sheet,...2,...3,...4
Initials,GP,,
Today's Date,44558,,
Mouse ID,25825-00,,
Disposition,Paralyzed left side,,
Disposition,Trouble breathing,,
Disposition,Dome head,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,,
BD,44511,,
Sac Date,44558,,
Age at Sac,47,,
Injection Date,44513,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (11/13/21 RH),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Y - domed head,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,,
Tissue collected,"Brain, Lungs, Liver",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"Probable intracranial tumor; sacked for left side paralysis and trouble breathing. Frontal lobe was caved in (from tumor)? Unable to isolate tumor separately so took entire brain, as well as lungs, liver.",,
