Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44284,,
Mouse ID,25695-11,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,
BD,44184,,
Sac Date,44284,,
Age at Sac,100,,
Injection Date,44187,,
Virus 1,RCAS Cre U6 sgRNA Ex2 NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,"limited mobility noticed, later tumor noticed on back",,
Date Tumor reported,44270,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,
Tissue collected,Brain and lower back tumor,,
Zinc fixed?,No,,
Formalin fixed?,Brain and tumor,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,Found dead on a Monday. No conditions noticed on Friday. Could have died over weekend.,,
