Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44053
Mouse ID,23783-03
Disposition,Completely paralyzed? Animal was found dead but had weakness in legs beforehand
Sex,Female
Strain,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f
BD,43974
Sac Date,44052
Age at Sac,78
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43975
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,"Brain was soft but most likely from being dead a little while, everything appeared normal"
Date Tumor reported,44050
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
age at tumor onset,76
