Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44001
Mouse ID,23523-01
Disposition,Paralyzed
Sex,Female
Strain,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f
BD,43943
Sac Date,44001
Age at Sac,58
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43944
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,paralyzed
Date Tumor reported,43993
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,HCI -20-23523-BR
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
