Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44223,,
Mouse ID,25786-11,,
Disposition,"found dead, domed head noticed day before",,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,
BD,44194,,
Sac Date,44223,,
Age at Sac,29,,
Injection Date,44195,,
Virus 1,RCAS Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,44222,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,
Tissue collected,Brain,,
Zinc fixed?,No,,
Formalin fixed?,full brain,,
Parafin Block #'s,HCI-20-25786-11,,
,,,
Slide #'s,,,
H&E?,yes,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"brain looked hollow. This is a Cre injection, so tumor is not expected. This is probably just hydrocephalus as a result of injection",,
