Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44033
Mouse ID,23823-03
Disposition,slight domed head and complete paralysis.
Sex,Female
Strain,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f
BD,43979
Sac Date,44033
Age at Sac,54
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43980
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,"Very large brain which accounted for domed head, large tumor underneath brain surrounding left frontal cranial nerve."
Date Tumor reported,44033
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,HCI -20-23823-BR
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
