Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44069
Mouse ID,23468-00
Disposition,Mouse was very sick difficulty breathing
Sex,Female
Strain,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f
BD,43970
Sac Date,44069
Age at Sac,99
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43941
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Brain looked perfectly normal
Date Tumor reported,44069
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
age at tumor onset,99
