Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44216,,
Mouse ID,25310-30,,
Disposition,"hunched over, scabs on tail, animal care staff required it be sacked",,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,
BD,44145,,
Sac Date,44216,,
Age at Sac,71,,
Injection Date,44146,,
Virus 1,RCAS Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,
Tissue collected,B,,
Zinc fixed?,No,,
Formalin fixed?,B,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,brain appeared deflated,,
