Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44103
Mouse ID,23865-00
Disposition,Experimental end date (Mistake in Cages tab about 30 days too early).
Sex,Male
Strain,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f
BD,43981
Sac Date,44103
Age at Sac,122
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43983
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Brain looked perfectly normal
Date Tumor reported,N/A
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
age at tumor onset,
