Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44620,,
Mouse ID,28528-10,,
Disposition,Sqiunted eyes,,
Disposition,Lack of mobility,,
Disposition,general malaise,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,,
BD,44511,,
Sac Date,44643,,
Age at Sac,132,,
Injection Date,44489,,
Virus 1,RCAS Cre + RCAS proHBEGF (10/20/21 RE),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,"Potentially. Nothing visible, but symptoms consistent with glioma",,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,,
Tissue collected,"Brain, Lungs, Liver",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"Swollen brain, watery and soft. Lungs and liver looked healthy.",,
,No primary tumor visible,,
