Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44091
Mouse ID,23784
Disposition,Mouse was paralyzed
Sex,female
Strain,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f
BD,43974
Sac Date,44091
Age at Sac,117
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43975
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Brain looked normal no evidence of tumor on spine either
Date Tumor reported,44088
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
age at tumor onset,114
