Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,43988
Mouse ID,23021-00
Disposition,"Large domed head and disfigurement, difficulty moving back legs"
Sex,Male
Strain,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f
BD,43893
Sac Date,43988
Age at Sac,95
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43895
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,"Uppon Necropsy massive tumor enveloping brain, face, and growing outside skull"
Date Tumor reported,43975
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,HCI -20-23021-BR
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
