Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,43999
Mouse ID,22921-00
Disposition,Respiratory Issues and paralyzed
Sex,Female
Strain,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
BD,43893
Sac Date,43999
Age at Sac,106
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43895
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Respiratory Issues and paralyzed no domed head observed
Date Tumor reported,43993
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,HCI -20-22921-BR
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
