Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,43997
Mouse ID,22923-01
Disposition,paralysis + large tumor in/over eye
Sex,Female
Strain,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
BD,43893
Sac Date,44008
Age at Sac,115
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43895
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,brain looked normal
Date Tumor reported,43997
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,HCI -20-22923-BR
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
