Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44050
Mouse ID,23528-03
Disposition,"difficulty breathing, domed head, sick"
Sex,Male
Strain,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f
BD,43943
Sac Date,44054
Age at Sac,111
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43944
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,"small tumor ontop of skull, brain looked normal"
Date Tumor reported,44047
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
age at tumor onset,104
