Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44581,,
Mouse ID,28527-03,,
Disposition,"Large head tumor, could barely open eyes",,
Disposition,Weight loss,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,,
BD,44511,,
Sac Date,44581,,
Age at Sac,70,,
Injection Date,44489,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (11/13/21 RH),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,,
Tissue collected,"Brain, Lungs, Liver",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"Large head tumor, skull was friable but there was no evidence of invasion into the brain from the head tumor",,
,All other organs appeared normal,,
