Mouse Necropsy information sheet,...2
Initials,RH
Today's Date,44028
Mouse ID,23824
Disposition,Large tumor on front right of head
Sex,Male
Strain,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f
BD,43979
Sac Date,44028
Age at Sac,49
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43980
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,"brain looks normal, head tumor is not attached to skin or brain"
Date Tumor reported,44020
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,"Brain, head tumor, spinal cord (not intact)"
,
Formalin fixed?,Yes
Parafin Block #'s,HCI -20-23824-BR
,HCI-20-23824-SpCo
,HCI-20-23824-HeTu
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
