Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44047
Mouse ID,23399
Disposition,No symptoms TVA-
Sex,Male
Strain,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f
BD,43931
Sac Date,44047
Age at Sac,116
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43932
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,N/A
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,"Brain, spinal cord intact"
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,1
H&E?,NO
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
age at tumor onset,
