Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44033
Mouse ID,23466-10
Disposition,"Lack of grooming, difficulty breathing, looked weak and sickly."
Sex,male
Strain,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f
BD,43939
Sac Date,44033
Age at Sac,94
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43941
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Brain looked gray and pale but otherwise normal.
Date Tumor reported,6/4/2020 (noticed animal looked sickly)
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,HCI -20-23466-BR
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
