Mouse Necropsy information sheet,...2,...3,...4
Initials,ZL,,
Today's Date,44259,,
Mouse ID,25505,,
Disposition,"Foun dead, must have died th enight before.",,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,
BD,44167,,
Sac Date,44259,,
Age at Sac,92,,
Injection Date,44533,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,"No, domed head noticed when still alive-swollen brain but found dead so hard to tell.",,
Date Tumor reported,44246,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,
Tissue collected,Brain,,
Zinc fixed?,No,,
Formalin fixed?,full brain,,
Parafin Block #'s,HCI-21-25505,,
,,,
Slide #'s,,,
H&E?,yes,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Brain was in good condition but hard to tell if swelling was present. Slight domed head noticed when animal was alive.,,
