Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44067
Mouse ID,23970-03
Disposition,Tumor on head was very large and mouse was sickly
Sex,Male
Strain,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f
BD,43997
Sac Date,44067
Age at Sac,70
RCAS injection?,Yes
Injection route,intracranial
Injection Date,44000
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Very large tumor growing over the skull but brain looked normal
Date Tumor reported,44040
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
age at tumor onset,43
