Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44473,,
Mouse ID,27416-03,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
BD,44384,,
Sac Date,44477,,
Age at Sac,93,,
Injection Date,"7/8/21, 7/10/21",,
Virus 1,RCAS Cre-U6-sgRNA-Ex2-NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
Tissue collected,"Brain, lung, tumor",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lung, tumor",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"Tumor first noticed on top of head as a difference in fur growth (not really palpable at first), tracked growth until too big, tumor was able to be separated from the skin, was softer than the head tumors seen in the glioma model and was able to be cleared away from the skull",,
