Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44546,,
Mouse ID,28207-10,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,,
BD,44481,,
Sac Date,44545,,
Age at Sac,64,,
Injection Date,44483,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (RH 10/14/21),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,,
Tissue collected,"Brain, Lungs, Liver, T1",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver, T1",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"Tumor was on top of head, but did not go into the skull. The skull was intact and brain appeared normal. Lungs and Liver appeared normal",,
