Mouse Necropsy information sheet,...2,...3,...4
Initials,ZL,,
Today's Date,44243,,
Mouse ID,24988,,
Disposition,"Sick, breathing weird, very large distended stomach.",,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,
BD,44115,,
Sac Date,44243,,
Age at Sac,128,,
Injection Date,44116,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,yes,,
Date Tumor reported,44243,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,
Tissue collected,Brain,,
Zinc fixed?,No,,
Formalin fixed?,"Yes, necrotic tmuor stuck to bottom of brain and cavity, scooped all up and formalin fixed",,
Parafin Block #'s,HCI-20-24988,,
,,,
Slide #'s,,,
H&E?,yes,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"Brain slightly large, necrotic tissue/tumor underneath brain and in cavity. No cell line started, most scooped out with brain.",,
,Very disteneded stomach was due to all digestive organs being maximally filled with gas including stomach.,,
