Mouse Necropsy information sheet,...2,...3,...4
Initials,ZL,,
Today's Date,44272,,
Mouse ID,25767,,
Disposition,paralyzed,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,
BD,44193,,
Sac Date,44272,,
Age at Sac,79,,
Injection Date,44558,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,
Tissue collected,Brain,,
Zinc fixed?,No,,
Formalin fixed?,full brain,,
Parafin Block #'s,HCI-21-25767,,
,,,
Slide #'s,,,
H&E?,yes,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Brain looked normal,,
