Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44466,,
Mouse ID,27648-30,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
BD,44410,,
Sac Date,44466,,
Age at Sac,56,,
Injection Date,"8/2/21, 8/3/21",,
Virus 1,RCAS Cre-U6-sgRNA-Ex2-NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
Tissue collected,"Brain, lung, tumor",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lung, tumor",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"Mouse was supposed to be renotched as a -03, but it looks like a -30, , looked very sick an not very moblile with urine stains, upon necropsy mouse had regular looking intestines and did have a white looking mass on back of skull a little larger on the left than on the right, possibly infiltrating into the skull into the cerebellum.",,
