Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44401,,
Mouse ID,26865-01,,
Disposition,"""tumor"" ulcered",,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
BD,44306,,
Sac Date,44399,,
Age at Sac,93,,
Injection Date,"4/20/2021, 4/21/21",,
Virus 1,RCAS Cre U6 sgRNA NF1 Ex2,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,44395,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
Tissue collected,"B,L,T1",,
Zinc fixed?,No,,
Formalin fixed?,"B,L,T1",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"Tumor appeared as a red sore or scab under the right ear. The wound opened on 7/22, so the mouse had to be euthanized.",,
